copy,method,rev_5,bitrev_5,rev_10,bitrev_10,rev_8,bitrev_8,rev_6,bitrev_6
5,dp+phred,7.9125661441076e-05,0.5026115177290931,2.1259557942925142e-05,0.5043088104332459,0.0,0.501061583585625,0.0,0.499945561545809
5,dp,0.0,0.5001830399090051,0.0,0.5004502597209326,0.0,0.5000628706806757,0.0,0.50008843719138
5,bsalign,0.0,0.5001601058305718,0.0,0.5000249209262547,0.0,0.500025903799763,0.0,0.500129316625382
6,dp+phred,0.0034617476880470753,0.5453051248976583,0.2739719232104764,0.7688014141739831,0.01649748247446046,0.6134638034872983,0.00013988808952837708,0.5707081418198771
6,dp,0.0,0.5086270495744243,0.13049589099988396,0.6640633353726757,0.0,0.5499380737286897,0.0,0.5186564082067675
6,bsalign,0.000118688492161614,0.5130671496628912,1.6535211733386222e-05,0.5138864086071285,4.8569624556802016e-05,0.5121454080118291,2.4980015987210177e-05,0.5150493979816144
7,dp+phred,0.07119661078416809,0.7286737282198371,0.8390379813813507,0.9299190876972508,0.8363203652435761,0.9398686124197922,0.30752620126121294,0.8669161198818719
7,dp,0.0073314870678997,0.5808455284385315,0.8237925161631686,0.917142656850262,0.7101526705198564,0.911095730730001,0.08091859845456946,0.7144767519317874
7,bsalign,0.00011868849216161387,0.5771451708619747,0.38933974899548546,0.8090935396927753,0.07158353165930009,0.744865246274979,4.9960031974420307e-05,0.5763488977336646
8,dp+phred,0.8108222325125539,0.9870739315413167,0.889590257453246,0.9568352948228247,0.8925397056680745,0.952901225573526,0.9589217514876984,0.99256883844776
8,dp,0.33690447824269054,0.8837181717776145,0.887597764439373,0.9496315748135649,0.9227338222675533,0.9617921314509902,0.8985866862065899,0.9884958005817565
8,bsalign,0.006290490084565538,0.5800014836061516,0.4235384250761994,0.8049460263130331,0.10439231304741996,0.7215336466074111,0.003108624211741707,0.6002095777082037
9,dp+phred,0.9852088962419806,0.9971207550506299,0.9776939993716618,0.9929238767079495,0.9540385642818979,0.9816710581702199,0.9788335997868371,0.9917044836353139
9,dp,0.9377200120486802,0.991584112975859,0.9605428510012067,0.9819876599092766,0.9730195735586961,0.9915352453575533,0.9670485833555377,0.9904190073866833
9,bsalign,0.7320706196528357,0.9719773173103865,0.9247262044523805,0.9655408484033414,0.9252464908446253,0.9702597665420043,0.9114763744559904,0.997153850993279
10,dp+phred,0.9929955806519775,0.9999110210956806,0.9857466474858209,0.9954919845561122,0.9790503019411657,0.9914893650510971,0.9950484057198684,0.9992825646889893
10,dp,0.9689701525416868,0.9994931761609965,0.9842171404004828,0.9923293669494188,0.9810254666731425,0.9946341358114634,0.9948596678212984,0.9983072107129112
10,bsalign,0.8760991048909545,0.9988300117040039,0.9539659705342522,0.980523954928687,0.9687481449101729,0.9845505870628506,0.9799604760635935,0.9997004711045976
11,dp+phred,1.0,1.0,0.9921085702002413,0.996836848443761,0.9907280586721064,0.9953639079119917,1.0,1.0
11,dp,1.0,1.0,0.9900664715511681,0.9960847030000385,0.9998980037884306,0.9999995750157851,1.0,1.0
11,bsalign,0.8610553385094699,0.9984490958244724,0.9323324018497385,0.9702511331213147,0.9721938899412305,0.9868404244985186,0.9659328093081088,0.9927646077582377
12,dp+phred,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,dp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,bsalign,0.9913753029029223,0.9999408618103288,0.964197132794285,0.9828791834085683,0.988410073340133,0.9942071362944613,1.0,1.0
13,dp+phred,1.0,1.0,0.9921085702002413,0.996856225645011,1.0,1.0,1.0,1.0
13,dp,1.0,1.0,0.9921085702002413,0.996090524772503,1.0,1.0,1.0,1.0
13,bsalign,0.9945403293605656,0.9999647643538893,0.9591887352688976,0.9816544483262819,0.973508739063161,0.9890251151215743,0.9788280486721733,0.9948320972851348
14,dp+phred,1.0,1.0,1.0,1.0,0.9867543695315806,0.9933723567138255,1.0,1.0
14,dp,1.0,1.0,1.0,1.0,0.9867543695315806,0.9933814924289205,1.0,1.0
14,bsalign,0.9854112061718014,0.9968842210243475,0.9715688845109944,0.9869500270468817,0.9867543695315806,0.9933677599457871,0.9948596678212984,0.9984067607025489
15,dp+phred,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,dp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,bsalign,0.9921121606250924,0.9999474041013467,1.0,1.0,1.0,1.0,1.0,1.0
